Question,Answer
What specific information about Magadha is mentioned in the text?,None (since there is no additional information provided)
Where was the Magadha kingdom proper bounded by to the north?,By the Gaṅgā river.
Which two major religions did Magadha play an important role in developing?,Jainism and Buddhism.
In which ancient text were the Magadhas listed along with other non-Vedic tribes?,The Atharvaveda
"What was used as a synonym for ""Magadha"" in later texts?",Kikata
What is described as being to the south of Kurukshetra in the Rigveda?,The territory of the Kikatas.
When did much of the Second Urbanisation take place in Greater Magadha?,From c. 500 BCE onwards.
How long did the Haryanka dynasty rule Magadha?,130 years
Who were the notable rulers of the Haryanka dynasty in Magadha mentioned in Buddhist and Jain literature?,Bimbisara and Ajatashatru
Who founded the Nanda Dynasty?,Mahapadma Nanda
When did the Maurya Empire exist?,c. 322–185 BCE
When did Bimbisara reign according to historian K. T. S. Sarao?,c.457–405 BCE
In which century BCE did Ajatashatru reign according to historian John Keay?,4th
What was the initial capital of the Magadha kingdom?,Rajagriha (modern day Rajgir)
"Who is said to have referred to themselves as ""Lords of Magadha""?",The Pithipatis
Where did Gautama Buddha attain enlightenment?,Bodh Gaya
Who founded Buddhism?,Buddha
What was the position of Kshatriyas compared to Brahmins in the śramana culture?,Higher
"What was the geographical area defined by Bronkhorst as ""Greater Magadha""?",The area in which the Buddha and Mahavira lived and taught.
"When did the culture of Greater Magadha remain recognizably distinct from Vedic culture, according to Bronkhorst?",Until the time of the grammarian Patañjali (ca. 150 BCE) and beyond.
What were the religions promoted by early Magadhan kings?,Buddhism and Jainism.
What form of asceticism and meditation did Sramana religions practice?,Jhana.
What is one of the Buddhist sites found in the Magadha region?,The Mahabodhi temple at Bodh Gaya.
What is said to mark the site where the Buddha attained enlightenment?,The Mahabodhi temple.
What did Robert Caesar Childers argue was the true or geographical name of the Pali language?,Magadhi Prakrit
"Where was Magadhi Prakrit spoken, and what languages did it later evolve into?","Magadha and neighboring regions; Magahi, Maithili, and Bhojpuri"
What is the topic of this historical text?,The historical region of Kalinga.
Is there any specific information about Kalinga provided in this text?,No.
What is the core territory of Kalinga now?,All of Odisha and some part of northern Andhra Pradesh.
In what century BCE did the region come under Mauryan control as a result of the Kalinga War?,The 3rd century.
Who ruled the Kalinga region after the Mauryan period?,"Several regional dynasties including Mahameghavahana, Vasishtha, Mathara, Pitrbhakta, Shailodbhava, Bhaumkara, Somavamshi, and Eastern Ganga."
Which two rivers are generally defined as the boundaries of the Kalinga region?,The Ganges and Godavari rivers.
Who identified the Kalinga janapada as covering the area covered by the Puri and Ganjam districts?,Sudama Misra
Which ancient Roman writer mentioned the existence of multiple Kalinga settlements?,Pliny
What was mentioned as the northern boundary of Kalinga by Pliny?,The Ganges.
"Which river borders Odisha and Jharkhand at one point and falls into Bay of Bengal in Bhadrak district of Odisha, passing through Kalinga?",Baitarani.
What is the current location of Mahendragiri mountain mentioned in ancient Indian literature?,"The Ganjam district of Odisha, near its border with Andhra Pradesh."
Where did Jain Tirthankara Pasvanath rest during his visit to Kalinga to preach Jainism?,In a place in Balasore district of Odisha.
What did Arjuna move from?,Gaya and Ganga.
Who claimed to rule over Kalinga after the decline of Guptas?,The Matharas.
What was the northern boundary of the Mathara territorry?,The Mahanadi river.
Which two rivers marked the extent of the territory claimed by the Vigrahas of South Toshali?,The Mahanadi and Godavari rivers.
Who ousted the Vigrahas from power?,The Mudgalas of North Toshali or Utkala
What was the title acquired by the Shailodbhavas after 620 CE?,"Sakala-Kalingādhipati (""Lord of whole of Kalinga"")"
What formed the eastern boundary of Kalinga?,The sea (the Bay of Bengal).
"According to Eastern Chalukya records, what did Trikalinga denote in relation to Kalinga?",The hilly region to the west of Kalinga.
What was bounded by the country of Āndhras to the south?,Kaliṅga
Where did Kaliṅga's authority reach on the west?,Amarakaṇṭaka range
From what river to what river did the Kalingas occupy their territory?,From the river Baitarani in Odisha to the Varahanandi in the Visakhapatnam district.
"Who was mentioned as a contemporary king of Nagnajit of Gāndhāra and Bhīma of Vidarbha, according to Brahmana texts?","Karaṇḍu, the king of Kaliṅga."
Who was the king of Kaliṅga according to the Mahāgovinda Suttanta?,Sattabhu
Which dynasty is mentioned in Chullakalinga Jataka and Kalingabodhi Jataka?,Kalinga
Who was the last ruler of First Kalinga dynasty?,The last ruler is not specified in the text.
When did Kalinga get briefly annexed by Nanda ruler Mahapadma Nanda?,Between 345 to 340 BCE
What is the time period mentioned for the Hathigumpha inscription?,2nd or 1st century BCE.
When did Kalingas break away from the empire of Magadha?,322 BCE.
"Who described the Calingae as ""Calingae""?",Megasthenes
In what year did Ashoka invade Kalinga and re-annex it into the Magadha Empire?,261 BCE
When did Ashoka re-annex Kalinga?,261 BCE
"Who described himself as the ""supreme Lord of Kalinga""?",Kharavela
What was the title borne by the rulers of Kalinga after the Gupta withdrawal?,"Kalingadhipati (""Lord of Kalinga"")"
Which religion is described as being patronized by the monarch in the inscription?,Jainism
"Who claimed the title ""the lord of the entire Kalinga""?",King Madhavaraja II
"What was the name of the ancient capital of Kalinga, from which the kingdom ""Tosala"" was derived?",Tosali
Who did the Eastern Gangas succeed in ruling the region?,The Bhauma-Karas.
What title did the Eastern Gangas assume during the 11th-15th century?,Kalingadhipati.
Where was the capital originally located?,Kalinganagara (modern Mukhalingam)
Who built the Sun Temple at Konark to commemorate his victory?,Narasimhadeva I
When did the Eastern Gangas begin to decline?,1264
Who laid the foundation of the Bhoi dynasty?,Govinda Vidyadhara
Who rebelled and declared himself an independent ruler in 1559 on Northern Odisha coast?,Mukunda Deva
What formed a potential threat to Mukunda Deva's kingdom?,Sulaiman Khan Karrani
Where did Kaundinya I originate from?,The ancient Kalinga region.
What type of dynasty was the Shailendra dynasty of Java likely to be?,A thalassocracy.
What was Burma's name likely observed in old Indo-Chinese records?,Kalinga-rattha
Where did the remains of a ship thought to have belonged to Kalingan traders excavated at Tante?,Near Yangon
Who established the first kingdom Dheeva Maari?,Soorudasaruna-Adeettiya
"According to Eric Casino, what was the origin of King Kiling of Butuan?",Indian
Who wrote about the Keling community in Melaka?,Castanheda
From which country did Nissanka Malla come from?,Sri Lanka
Who is the subject of the #Bimbisara hashtag?,Bimbisara
What was the dynasty to which Bimbisāra belonged?,Haryanka dynasty.
Who did Bimbisāra frequently visit for answers to his queries?,Samavasarana of Lord Mahavira.
At what age did Bimbisara ascend to the throne?,15
Who succeeded Bimbisara on the throne?,Ajatashatru
Where was Bimbisara's first capital located?,Girivraja (identified with Rajagriha)
Who was appointed governor at Champa by Bimbisara?,Prince Kunika (Ajatashatru)
Who was Bimbisara's first wife?,Kosala Devi
"According to Buddhism, why was Bimbisara assassinated?",Due to influence by Devadatta
When did Bimbisāra commit suicide?,493 BCE
What was King Bimbisara's degree of enlightenment in Buddhist teachings?,Sotapannahood
"How many years did Bimbisara rule Magadha, according to Puranas?",28 or 38 years
In which year was a fictionalized version of Bimbisara featured in an Indian film?,2022
Who is mentioned in the historical text?,Ajatashatru
Who was the father of King Ajatasattu?,King Bimbisara
What city was formed by the fortification of a village by King Ajatasattu?,Pataliputra
When did Ajatashatru occupy Kashi?,"He occupied Kashi during his first campaign, which took place in 485 BC."
What was the estimated date of the accession of Ajatashatru to the throne?,The accession of Ajatashatru took place in 491 BC.
When did Basham estimate that Ajatashatru visited the Buddha?,491 BC
What was the reign of Ajatashatru according to historian K. T. S. Sarao?,c. 405 to 373 BCE
Who were the parents of Ajatashatru according to Buddhist tradition?,King Bimbisara and Kosala Devi.
"What was the substitute for Queen Chellana's desired fried flesh during her pregnancy, as provided by Prince Abhayakumara?",A wild fruit that resembled a heart.
Who bit the little finger of the child?,A cock.
What was the nickname given to the child due to his sore finger?,"Kunika ""Sore Finger""."
Who did Kosaladevi want to drink blood from?,Bimbisara's arm
Who were Halla and Vihalla kumaras?,They were the wives of Kumaras.
What was the necklace worn by one of the wives?,The 18-fold divine necklace.
How many times did Ajatashatru send a request to his brothers to give him the elephant and necklace?,Three times.
Who did Halla and Vihalla kumaras escape to after being arrested by Ajatashatru's men?,Their maternal grandfather Chetaka.
How many Kalakumaras did Ajatashatru call to merge their army with his?,10
What was the combined total of infantrymen from all the kings that came to fight Ajatashatru's grandson?,570000
Who was killed by King Chetaka's first arrow?,"Kalakumara, commander of Ajatashatru."
What happened to the Kali queens after the death of their sons?,They were initiated as nuns in the holy order of Mahavira.
Who protected Ajatashatru from Chetaka's arrow?,The Indras
"What was named ""Mahasilakantaka"" in this historical text?","A weapon through which more than a lakh (100,000) people died"
Who was unable to break through the walls around Vaishali?,Ajatashatru
What was the occupation of the woman who brainwashed Kulvalaka on Ajatashatru's orders?,Prostitute
Who conquered Vaishali?,Ajatashatru
What happened to Sechanaka the elephant?,It died after falling in a pit with iron rods and fire made by Ajatashatru's soldiers
Who conquered Vaishali and Kasi-Kosala?,Ajatashatru
Why did Ajatashatru initially decide not to fight against the whole confederacy of Vaishali?,Because he thought it might be almost impossible
Who did Buddha give seven reasons to about why Vaishali should be so invincible?,Vassakara
What was used by Ajatashatru to attack and conquer the town of Vaishali during a battle?,A scythed chariot
Who was Ajatashatru's father?,King Bimbisara
How many wives did Ajatashatru have according to the Dīgha Nikāya?,500
Who did Prasenajit marry to Ajatashatru as part of a peace treaty?,His daughter Vajira
Which traditions mention Ajatashatru's death account differently?,Jain and Buddhist traditions
Who did Ajatashatru have an officer report on daily?,Mahavira
What language did Mahavira give a sermon in during his visit to the city of Champa?,Ardhamagadhi
What did Ajatashatru erect on the bones and ashes of the Buddha?,A vast Stupa.
Where was Ajatashatru present at the first Buddhist council?,The Sattapanni (Saptparni) caves Rajgriha.
What is Ajatashatru's significance in Mahayana Buddhism?,He plays a soteriological role.
"Who declares that they will ""remain in the world for the sake of Ajatashatru""?",The Buddha.
Who is the subject of the historical text?,Samudragupta
Is there any specific information about Samudragupta's life or achievements in the given text?,No
Who was Samudragupta's father?,Chandragupta I
What is notable about Samudragupta's reign?,"It was marked by political expansion, administrative efficiency, and cultural patronage"
Who composed the prashasti (eulogy) that credits a king with extensive military conquests?,Harisena
Which river marked the eastern boundary of the empire at its height?,Brahmaputra River
When did Samudragupta's reign probably start?,From c. 319 CE to c. 350 CE.
What musical instrument was played by Samudragupta?,The veena.
Who probably had a long reign in 319 CE?,Chandragupta I
"If Samudragupta is regarded as the founder of the Gupta era, what can be dated to c. 319-320 CE?",His ascension
"When did Samudragupta's ascension occur, according to the traditional reckoning?",Around 320 CE.
What is the approximate year in which Prabhavatigupta married during the reign of Chandragupta II?,c. 380 CE
Who was Samudragupta's father?,Chandragupta I
Why did Chandragupta I select Samudragupta as his successor?,"Due to Samudragupta's ""devotion, righteous conduct, and valour"""
Who appointed Samudagupta as the next emperor?,Chandragupta I
Who did the Gupta inscriptions suggest had a remarkable military career?,Samudragupta
"According to one theory, what was Kacha's possible earlier name?",Samudra
What was the primary objective of the inscription mentioned in the historical text?,To record the installation of a Vishnu idol in a temple.
"How many battles did Samudragupta fight, according to the Allahabad Pillar inscription?",A hundred.
What was Samudragupta described as in the Mathura stone inscription?,"An ""exterminator of all kings"""
"According to the Allahabad Pillar inscription, what was Samudragupta's aim for his military campaigns?",The unification of the earth (dharani-bandha)
"What was Samudragupta said to have done to Achyuta, Nagasena, and a ruler whose name is lost?","He ""uprooted"" them."
What happened to the rulers of Aryavarta (northern India) after they sought Samudragupta's forgiveness?,They were reinstated by Samudragupta.
Who did Samudragupta defeat after the second rebellion?,He defeated them again.
What was the uncertain identity referred to in the historical text?,The scion of the Kota family.
Who was the ruler of the Kota people according to ancient coins?,The Kota ruler was captured by the Gupta army.
"What is believed to be the meaning of the phrase ""played"" in the inscription about Samudragupta's activities?",It could describe either Samudragupta's achievements as a prince or his dispatching of armies while staying at the capital.
What is mentioned in the Allahabad Pillar inscription as Samudragupta's campaign?,"He captured and then released kings of Dakshinapatha, the southern region."
Where did Samudragupta most probably march along after reaching the eastern coast?,Along the coast of Bay of Bengal.
Who reinstated the rulers of certain kingdoms as his tributaries?,Samudragupta
What did some scholars theorize that Samudragupta gave to these kingdoms to secure their alliances?,Protection and aid
What type of conqueror is described as restoring a captured king in exchange for his acknowledgment of the conqueror's suzerainty?,The righteous conqueror (dharma-vijayi)
Who defines three types of conquerors mentioned in the ancient Indian political ideals?,Kautilya
What did Samudragupta do to the defeated kings of Aryavarta?,He restored them as his vassals.
"According to the Allahabad Pillar inscription, what happened to the kingdoms of the kings forcibly uprooted by Samudragupta?",They were annexed to the Gupta empire.
What did Samudragupta do to the kings of the forest region?,He reduced them to subservience.
"Who paid tributes, obeyed orders, and performed obeisance before Samudragupta?",Rulers of several frontier kingdoms and tribal oligarchies.
What was described as being controlled by tribes in Samudragupta's kingdom?,Frontier territories
Who is believed to have submitted to Samudragupta without a fight?,Frontier rulers and tribes
"What did some kings offer or gift to Samudragupta, as mentioned in his inscription?",Their daughters in marriage (or maidens)
Who argued that Daivaputra-Shahi-Shahanushahi was a single ruler?,Historian D. R. Bhandarkar
Which king or rulers controlled parts of present-day Punjab and Afghanistan according to historian Tej Ram Sharma?,Kushan kings
Who ruled as a vassal of the Sasanian king Shapur II?,Kidara
"What regnal titles does the expression ""Devaputra Shāhi Shāhānu Shāhi"" designates?",The Kushan princes
Who ruled in Punjab at the time of the Allahabad inscription?,The Kushans
"What was the title used by Saka princes originally, according to Konow and Lüders?",Commander (or Murunda)
Who formed an alliance with Kidara?,Samudragupta
In what years did Kidara achieve victories over the Sassanians?,367-368 AD
What do scholars believe Shakas and Murundas refer to?,Two different groups of people
Who identified the Shakas mentioned in Samudragupta's inscription with the Western Kshatrapas?,V. A. Smith
Who identified Shaka-Murunda ruler with Shridhara-varman?,D. R. Bhandarkar
What was the purpose of Meghavarna's rich presents sent to Samudragupta?,To build a monastery at Bodh Gaya for pilgrims from Sri Lanka
Who visited this monastery according to historical records?,Xuanzang
"What did Meghavarna give to the king of India, according to Xuanzang's account?",All the jewels of his country
What was the extent of Samudragupta's empire?,"From the Ravi River in the west to the Brahmaputra River in the east, and from the Himalayan foothills in the north to the Vindhya hills in the south."
Where did Samudragupta directly control a territory?,In northern India.
What was included in Samudragupta's empire in the south?,Eran in present-day Madhya Pradesh.
Did the southern kings under Samudragupta's rule pay him tribute or come under his direct suzerainty?,They only paid him tribute.
What is questionable about Samudragupta's claim?,His control over other kings.
"Where did Samudra, a legend on a gold coin of the Gadahara tribe, suggest that Samudragupta's control extended up to?",Up to the Chenab river in the Punjab region.
Who did the Gupta Empire derive its coinage from initially?,The Kushan Empire.
What was the name of the coinage adopted by the Guptas from the Kushans?,Dinara.
What is similar between the coinage of Samudragupta and the later Kushan rulers?,The sacrificial scene over an altar and the depiction of a halo.
Who are the people whose portraits are found on gold coins attributed to Samudragupta?,Chandragupta and Kumaradevi.
How many inscriptions from Samudragupta's reign have been discovered?,Two
Who is credited with ordering the writing of two records during Samudragupta's reign?,Gopaswamin
Where is the Eran Inscription of Samudragupta stored?,Kolkata Indian Museum
What material is the Eran Inscription of Samudragupta inscribed on?,Red sandstone
Who was outshone in giving gold?,Prithu and Râghava and other kings.
What did Samudragupta do to the whole tribe of kings upon the earth?,He overthrew them and reduced them to the loss of their wealth.
